category_code,category_name,category_code_parent
10021,Apparel,
10178,Apparel Accessories,10021
10937,Bags & Packs,10178
12262,Backpacks & Utility Bags,10937
12264,Briefcases,10937
12263,Handbags & Purses,10937
12265,Laptop & Computer Bags,10937
10935,Belts & Suspenders,10178
10938,Billfolds & Wallets,10178
10936,Eyewear,10178
12260,Reading Glasses,10936
12261,Sunglasses,10936
10939,Gloves & Mittens,10178
10942,Hair Accessories,10178
10941,Headwear,10178
12266,Hats,10941
12267,Headscarves & Bandanas,10941
13701,Key Chains & Key Rings,10178
13409,Parasols & Personal Sun Umbrellas,10178
10943,Scarves & Shawls,10178
10940,Ties,10178
10176,Clothing,10021
13780,Children's Clothing,10176
11019,Baby & Toddler Clothing,13780
12292,Baby & Toddler Shoes,11019
12293,Christening Gowns & Suits,11019
12288,Newborn Clothing,11019
10924,Costumes & Costume Rental,10176
10919,Culturally-Specific Clothing,10176
10906,Custom Clothing,10176
10916,Dancewear,10176
10920,Formal Wear,10176
12250,Bridal Wear,10920
10905,Formal Wear Rentals,10920
12252,Prom Dresses,10920
12251,Tuxedos & Tuxedo Accessories,10920
13778,Men's Clothing,10176
10917,Outerwear,10176
13356,Coats,10917
13357,Slickers & Rainwear,10917
12241,"Pants, Jeans & Trousers",10176
10912,Petite Clothing,10176
10923,Plus Size Clothing,10176
12237,Pullover Sweaters & Cardigans,10176
12240,"Shirts, Tops & Blouses",10176
13117,Dress Shirts,12240
13116,Jerseys & Knit Shirts,12240
13315,T-Shirts,13116
13118,Polo Shirts,12240
12242,Shorts,10176
10925,Sleepwear,10176
10921,Socks & Hosiery,10176
12243,Sport Coats & Jackets,10176
10914,Suits & Business Attire,10176
12238,Sweatshirts & Hoodies,10176
11917,Swimwear,10176
10913,Underwear,10176
12246,Boxers & Briefs,10913
12245,Lingerie & Intimate Apparel,10913
13120,"Body Shapers, Girdles & Bustiers",12245
13123,Bras,12245
13121,Slips,12245
10926,Uniforms,10176
12254,School Uniforms,10926
12253,Work Uniforms,10926
13124,Hospitality Service Uniforms,12253
13125,Public Safety & Security Uniforms,12253
10918,Utility Clothing,10176
12239,Vests,10176
13779,Women's Clothing,10176
10915,Dresses,13779
10922,Maternity Wear,13779
12244,Skirts,13779
10907,Dry Cleaning & Alterations,10021
10177,Footwear,10021
10619,Athletic Shoes,10177
11895,Cleats,10619
11897,Cross-Training Shoes,10619
11898,Running Shoes,10619
11899,Skate Shoes,10619
11896,Tennis Shoes,10619
10931,Boots,10177
12259,Cowboy Boots,10931
12258,Fashion & Dress Boots,10931
12257,Work Boots,10931
10930,Casual Shoes,10177
12256,Clogs,10930
12255,Flats,10930
10932,Dress Shoes,10177
10172,Footwear Accessories,10177
10933,Moccasins,10177
10929,Roller Shoes,10177
10927,Sandals,10177
10173,Shoe Repair & Footwear Services,10177
10928,Slippers,10177
10934,Special Width & Orthopedic Shoes,10177
10171,Jewelry,10021
10902,Anklets,10171
10721,Antique Jewelry,10171
10894,Bracelets,10171
